SeniorCitizen,tenure,MonthlyCharges,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year,Churn_Yes,Cluster
0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,41.0,25.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,52.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.0,76.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3
0.0,67.0,51.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
1.0,68.0,90.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3
0.0,23.0,77.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,72.0,72.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,70.0,104.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3
0.0,1.0,19.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3
0.0,1.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,34.0,84.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1.0,28.0,51.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2
1.0,18.0,85.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3
0.0,15.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
1.0,11.0,95.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3
0.0,11.0,54.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3
0.0,1.0,70.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3
0.0,37.0,89.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,22.0,89.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3
0.0,1.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.0,19.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,46.0,80.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,51.0,107.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,41.0,104.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,5.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
0.0,45.0,89.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3
0.0,29.0,60.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
1.0,15.0,92.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,72.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,50.0,104.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2
0.0,27.0,21.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2
0.0,72.0,85.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,51.0,70.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,60.0,94.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,17.0,19.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2
0.0,72.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
0.0,33.0,104.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3
1.0,66.0,105.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,69.0,104.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2
0.0,5.0,70.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3
0.0,57.0,101.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
1.0,8.0,76.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3
0.0,14.0,51.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,25.0,95.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3
0.0,52.0,20.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
1.0,7.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
0.0,13.0,80.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3
1.0,15.0,90.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3
0.0,22.0,55.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3
0.0,19.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,23.0,30.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,72.0,114.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
1.0,72.0,98.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,59.0,97.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,70.0,75.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,70.0,101.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2
0.0,9.0,103.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2
0.0,3.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
1.0,17.0,102.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2
0.0,28.0,70.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,10.0,54.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,11.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1.0,72.0,103.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,8.0,70.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3
1.0,69.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,39.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2
0.0,67.0,51.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,39.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,54.0,66.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2
0.0,1.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
0.0,72.0,60.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,10.0,99.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3
0.0,13.0,97.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3
0.0,35.0,99.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,12.0,36.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0
0.0,31.0,91.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,53.0,108.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,30.0,20.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
0.0,46.0,75.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
0.0,19.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
0.0,23.0,54.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
1.0,15.0,55.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3
0.0,48.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,25.0,96.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3
0.0,52.0,105.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3
0.0,12.0,82.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3
0.0,48.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,38.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,18.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,45.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
0.0,12.0,90.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
1.0,66.0,102.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,72.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2
0.0,70.0,45.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
0.0,27.0,90.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
0.0,1.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
1.0,13.0,95.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3
0.0,65.0,90.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2
0.0,14.0,70.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,17.0,85.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3
0.0,31.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2
0.0,24.0,24.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,3.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2
0.0,17.0,77.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
0.0,66.0,69.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2
0.0,45.0,53.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,35.0,92.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2
0.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,10.0,85.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3
0.0,52.0,64.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,13.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
1.0,43.0,90.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,41.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1.0,52.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,71.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,61.0,106.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,26.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,72.0,68.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,42.0,78.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2
0.0,57.0,65.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,9.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,9.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
0.0,33.0,45.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.0,19.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2
0.0,7.0,79.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3
0.0,1.0,72.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3
0.0,65.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,10.0,86.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3
0.0,70.0,95.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,29.0,99.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
0.0,21.0,104.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3
0.0,1.0,91.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
0.0,5.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,56.0,90.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,35.0,85.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3
0.0,10.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,31.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,37.0,86.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3
1.0,57.0,95.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3
0.0,34.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
0.0,3.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3
0.0,4.0,83.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2
0.0,54.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,6.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2
0.0,22.0,60.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,23.0,97.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,68.0,58.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,48.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,34.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,41.0,80.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
0.0,9.0,76.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2
1.0,18.0,104.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,35.0,96.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,55.0,79.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2
0.0,54.0,108.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2
1.0,2.0,79.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3
0.0,52.0,106.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,72.0,70.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,9.0,70.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0,3.0,70.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
